GeneID	Symbol	Name	Disease	Phenotype	Function
2	A2M	.	0	0	1
100506677	AA06	.	0	0	1
8086	AAAS	.	0	0	1
65985	AACS	.	0	0	1
13	AADAC	.	0	0	1
201651	AADACP1	.	0	0	1
195827	AAED1	.	0	0	1
22848	AAK1	.	0	0	1
28971	AAMDC	.	0	0	1
57505	AARS2	.	0	0	1
132949	AASDH	.	0	0	1
60496	AASDHPPT	.	0	0	1
10157	AASS	.	0	0	1
26574	AATF	.	0	0	1
9625	AATK	.	0	0	1
18	ABAT	.	0	0	1
19	ABCA1	.	1	0	1
79963	ABCA11P	.	0	0	1
650655	ABCA17P	.	0	0	1
23461	ABCA5	.	0	1	1
23460	ABCA6	.	0	0	1
10351	ABCA8	.	0	0	1
5243	ABCB1	.	0	0	1
23456	ABCB10	.	0	0	1
10058	ABCB6	.	1	0	1
4363	ABCC1	.	0	0	1
89845	ABCC10	.	0	0	1
10257	ABCC4	.	0	0	1
10057	ABCC5	.	0	0	1
10060	ABCC9	.	0	1	1
5825	ABCD3	.	0	0	1
5826	ABCD4	.	0	0	1
6059	ABCE1	.	0	0	1
23	ABCF1	.	0	0	1
10061	ABCF2	.	0	0	1
64241	ABCG8	.	0	0	1
55347	ABHD10	.	0	0	1
83451	ABHD11	.	0	0	1
26090	ABHD12	.	0	0	1
84945	ABHD13	.	0	0	1
84836	ABHD14B	.	0	0	1
51104	ABHD17B	.	0	0	1
58489	ABHD17C	.	0	0	1
80167	ABHD18	.	0	0	1
63874	ABHD4	.	0	0	1
51099	ABHD5	.	0	0	1
57406	ABHD6	.	0	0	1
10006	ABI1	.	0	0	1
10152	ABI2	.	0	0	1
54942	ABITRAM	.	0	0	1
27	ABL2	.	0	0	1
3983	ABLIM1	.	0	0	1
22885	ABLIM3	.	0	0	1
29	ABR	.	0	0	1
58527	ABRACL	.	0	0	1
25841	ABTB2	.	0	0	1
31	ACACA	.	1	0	1
32	ACACB	.	0	0	1
80724	ACAD10	.	0	0	1
36	ACADSB	.	0	0	1
37	ACADVL	.	0	0	1
176	ACAN	.	1	0	1
23527	ACAP2	.	0	0	1
38	ACAT1	.	0	1	1
39	ACAT2	.	0	0	1
64746	ACBD3	.	0	0	1
91452	ACBD5	.	0	0	1
84320	ACBD6	.	0	0	1
65057	ACD	.	0	0	1
1636	ACE	.	1	0	1
22985	ACIN1	.	0	0	1
57007	ACKR3	.	0	0	1
51554	ACKR4	.	0	0	1
47	ACLY	.	0	0	1
50	ACO2	.	0	0	1
55856	ACOT13	.	0	0	1
122970	ACOT4	.	0	0	1
11332	ACOT7	.	0	0	1
10005	ACOT8	.	0	0	1
23597	ACOT9	.	0	0	1
51	ACOX1	.	0	0	1
8309	ACOX2	.	0	0	1
8310	ACOX3	.	0	0	1
51205	ACP6	.	0	0	1
55	ACPP	.	0	0	1
93953	ACRC	.	0	1	1
80221	ACSF2	.	0	0	1
2180	ACSL1	.	0	0	1
2182	ACSL4	.	0	0	1
51703	ACSL5	.	0	0	1
23305	ACSL6	.	0	0	1
6296	ACSM3	.	0	0	1
84532	ACSS1	.	0	0	1
55902	ACSS2	.	0	0	1
79611	ACSS3	.	0	0	1
59	ACTA2	.	0	0	1
60	ACTB	.	1	0	1
62	ACTBP2	.	0	0	1
67	ACTBP7	.	0	0	1
70	ACTC1	.	0	0	1
71	ACTG1	.	0	0	1
73	ACTG1P1	.	0	0	1
283693	ACTG1P17	.	0	0	1
72	ACTG2	.	0	0	1
86	ACTL6A	.	0	0	1
87	ACTN1	.	0	0	1
88	ACTN2	.	0	0	1
81	ACTN4	.	0	0	1
55860	ACTR10	.	0	0	1
10120	ACTR1B	.	0	0	1
10097	ACTR2	.	0	0	1
10096	ACTR3	.	0	0	1
64431	ACTR6	.	0	0	1
90	ACVR1	.	1	0	1
91	ACVR1B	.	0	0	1
92	ACVR2A	.	1	0	1
93	ACVR2B	.	1	0	1
97	ACYP1	.	0	0	1
98	ACYP2	.	0	0	1
100	ADA	.	1	0	1
102	ADAM10	.	0	0	1
8038	ADAM12	.	0	0	1
6868	ADAM17	.	0	0	1
8728	ADAM19	.	0	0	1
8747	ADAM21	.	0	0	1
8745	ADAM23	.	0	0	1
8755	ADAM6	.	0	0	1
