from	target_from
chr10:100007442-100028007	LOXL4
chr10:100068827-100070007	.
chr10:100120702-100121292	.
chr10:100143321-100174978	PYROXD2
chr10:100151153-100151951	.
chr10:100174435-100175285	.
chr10:100175954-100206720	HPS1
chr10:100206077-100213562	LOC101927278
chr10:100220239-100221301	.
chr10:100227136-100227824	.
chr10:100229199-100229699	.
chr10:101006427-101006927	.
chr10:101051715-101052401	.
chr10:101088855-101154087	CNNM1
chr10:101152150-101152650	.
chr10:101156626-101190530	GOT1
chr10:101190111-101190831	.
chr10:101190940-101191535	.
chr10:101209843-101211070	.
chr10:101226349-101227528	.
chr10:101320223-101320723	.
chr10:10136610-10137110	.
chr10:101370274-101380221	SLC25A28
chr10:101371924-101372424	.
chr10:101379971-101381709	.
chr10:101418859-101419512	.
chr10:101436077-101436577	.
chr10:101468314-101469046	.
chr10:101470624-101492423	COX15
chr10:101470825-101471325	.
chr10:101491957-101515894	CUTC
chr10:101605506-101606284	.
chr10:101614568-101615068	.
chr10:101635327-101769710	DNMBP
chr10:1016541-1017041	.
chr10:101666152-101666652	.
chr10:101677548-101678440	.
chr10:101698204-101698704	.
chr10:101701411-101702636	.
chr10:101704852-101705609	.
chr10:1017066-1017566	.
chr10:101732899-101733399	.
chr10:101736233-101737748	.
chr10:101742870-101743853	.
chr10:101744085-101744585	.
chr10:101756130-101757436	.
chr10:101765557-101766464	.
chr10:101769185-101770551	.
chr10:101805714-101806214	.
chr10:101823297-101823797	.
chr10:101909846-101945814	ERLIN1
chr10:101926761-101927896	.
chr10:101945034-101946582	.
chr10:101948054-101989367	CHUK
chr10:101992052-102027438	CWF19L1
chr10:102027016-102027692	.
chr10:102033034-102046469	BLOC1S2
chr10:102045716-102047177	.
chr10:102098128-102098628	.
chr10:102102045-102102545	.
chr10:102105243-102105743	.
chr10:102105928-102107021	.
chr10:102106771-102124588	SCD
chr10:102107487-102107987	.
chr10:102124366-102125086	.
chr10:102132617-102134237	.
chr10:102133332-102148111	OLMALINC
chr10:102150555-102151298	.
chr10:102153855-102154355	.
chr10:102163437-102163937	.
chr10:102193437-102194023	.
chr10:102241213-102242868	.
chr10:102246402-102279595	SEC31B
chr10:102283485-102289680	NDUFB8
chr10:102288838-102289930	.
chr10:102295204-102296135	.
chr10:102295640-102313681	HIF1AN
chr10:102456787-102457287	.
chr10:102624466-102625149	.
chr10:102638144-102638644	.
chr10:102640582-102641466	.
chr10:102642368-102642868	.
chr10:102646675-102647491	.
chr10:102661040-102661540	.
chr10:102669090-102670040	.
chr10:102671693-102673388	.
chr10:102672325-102724891	SLF2
chr10:102732285-102745373	SEMA4G
chr10:102741133-102747272	MRPL43
chr10:102747292-102754158	TWNK
chr10:102753954-102754454	.
chr10:102756822-102767593	LZTS2
chr10:102757216-102760407	.
chr10:102761082-102761582	.
chr10:102766534-102767575	.
chr10:102772214-102773363	.
chr10:102790664-102792870	.
chr10:102790995-102800998	SFXN3
chr10:102855301-102855801	.
chr10:103051823-103052844	.
chr10:103070761-103071536	.
chr10:103113789-103317078	BTRC
chr10:103115391-103115994	.
chr10:103124404-103124904	.
chr10:103143747-103144247	.
chr10:103145602-103146321	.
chr10:103156823-103157323	.
chr10:103240866-103241468	.
chr10:103245574-103246074	.
chr10:1033207-1034598	.
chr10:103329876-103331175	.
chr10:103338638-103348027	POLL
chr10:103348044-103369421	DPCD
chr10:103362336-103362978	.
chr10:103370420-103454743	FBXW4
chr10:103372559-103373059	.
chr10:1034348-1063708	GTPBP4
chr10:103453383-103455215	.
chr10:103538760-103539260	.
chr10:103539579-103540079	.
chr10:103540780-103541280	.
chr10:103541081-103543170	NPM3
chr10:103542920-103543438	.
chr10:103544199-103578222	MGEA5
chr10:103576942-103577600	.
chr10:103577685-103579167	.
chr10:103585730-103603677	KCNIP2
chr10:103588330-103591035	.
chr10:103600356-103601324	.
chr10:103866248-103880230	LDB1
chr10:103874527-103875027	.
chr10:103877149-103878051	.
chr10:103879980-103882191	.
chr10:103892139-103894074	.
chr10:103892750-103910090	PPRC1
chr10:103911556-103912571	.
chr10:103911932-103923628	NOLC1
chr10:103929108-103929608	.
chr10:103985469-103986284	.
chr10:103989449-103990200	.
chr10:104004800-104005700	.
chr10:104005254-104142656	GBF1
chr10:104040469-104040969	.
chr10:104153620-104156145	.
chr10:104155352-104162286	NFKB2
chr10:104158873-104159682	.
chr10:104209573-104216050	RPARP-AS1
chr10:104221169-104236802	MFSD13A
chr10:104238631-104239445	.
chr10:104238985-104262512	ACTR1A
chr10:104261667-104262807	.
chr10:104263718-104393214	SUFU
chr10:104339853-104340353	.
chr10:104343155-104344178	.
chr10:104361954-104362827	.
chr10:104363889-104364389	.
chr10:104387085-104388543	.
chr10:104392077-104393470	.
chr10:104401502-104402422	.
chr10:104404251-104418076	TRIM8
chr10:104404520-104406733	.
chr10:104414215-104414715	.
chr10:104417454-104418173	.
chr10:104420919-104421419	.
chr10:104430563-104431337	.
chr10:104433483-104474190	ARL3
chr10:104433706-104434206	.
chr10:104435559-104436434	.
chr10:104438451-104438951	.
chr10:104450984-104451897	.
chr10:104473291-104474813	.
chr10:104474297-104498946	SFXN2
chr10:104477955-104478455	.
chr10:104488806-104489442	.
chr10:104494985-104495485	.
chr10:104503038-104503797	.
chr10:104503852-104505140	.
chr10:104512249-104512749	.
chr10:104512894-104513853	.
chr10:104517908-104519074	.
chr10:104530477-104530977	.
chr10:104535887-104576021	WBP1L
chr10:104540742-104541242	.
chr10:104541861-104543645	.
chr10:104545507-104546085	.
chr10:104556075-104556731	.
chr10:104559762-104560262	.
chr10:104562582-104563516	.
chr10:104573657-104574157	.
chr10:104574261-104576482	.
chr10:104590287-104597290	CYP17A1
chr10:104594635-104595135	.
chr10:104613966-104624718	BORCS7
chr10:104613966-104661655	BORCS7-ASMT
chr10:104628485-104629482	.
chr10:104629209-104661655	AS3MT
chr10:104676733-104678511	.
chr10:104678074-104838344	CNNM2
chr10:104804404-104805430	.
chr10:104813399-104814368	.
chr10:104847773-104953063	NT5C2
chr10:104870697-104871319	.
chr10:104905855-104906355	.
chr10:104912938-104913787	.
chr10:104952127-104953522	.
chr10:104953879-104954379	.
chr10:104956818-104957318	.
chr10:104990710-104991425	.
chr10:104998452-104999189	.
chr10:105062552-105110891	PCGF6
chr10:105127709-105148822	TAF5
chr10:105148808-105156270	USMG5
chr10:105155529-105156812	.
chr10:105156411-105206019	PDCD11
chr10:105176378-105177041	.
chr10:105191559-105192152	.
chr10:105193511-105194095	.
chr10:105201395-105202309	.
chr10:105205700-105206335	.
chr10:105206542-105212162	CALHM2
chr10:105208439-105208939	.
chr10:105210712-105211729	.
chr10:105211771-105212424	.
chr10:105233105-105233605	.
chr10:105245379-105246049	.
chr10:105251508-105252148	.
chr10:105253734-105352309	NEURL1
chr10:105272764-105273321	.
chr10:105340159-105340659	.
chr10:105344339-105345138	.
chr10:105353783-105615164	SH3PXD2A
chr10:105360268-105361026	.
chr10:105365380-105366022	.
chr10:105374279-105374779	.
chr10:105374959-105375602	.
chr10:105376403-105376903	.
chr10:105378523-105379191	.
chr10:105397506-105398573	.
chr10:105400145-105400645	.
chr10:105404634-105405337	.
chr10:105408442-105409800	.
chr10:105411321-105412599	.
chr10:105419644-105420144	.
chr10:105427886-105429130	.
chr10:105435694-105436296	.
chr10:105436575-105437075	.
chr10:105437537-105438352	.
chr10:105445778-105446593	.
chr10:105472405-105473097	.
chr10:105498965-105499465	.
chr10:105511406-105512079	.
chr10:105518730-105519699	.
chr10:105531883-105532787	.
chr10:105579681-105580433	.
chr10:105594643-105595936	.
chr10:105637317-105678045	STN1
chr10:105647727-105649327	.
chr10:105653912-105654822	.
chr10:105654964-105655584	.
chr10:105655863-105656363	.
chr10:105665171-105665904	.
chr10:105668035-105668535	.
chr10:105677149-105678867	.
chr10:105726942-105788991	SLK
chr10:105789184-105789801	.
chr10:105880560-105882502	.
chr10:105881815-105886143	SFR1
chr10:105889645-105992135	CFAP43
chr10:106014013-106014861	.
chr10:106014467-106027222	GSTO1
chr10:106014943-106016890	.
chr10:106028380-106029621	.
chr10:106028630-106059176	GSTO2
chr10:106034360-106035116	.
chr10:106051103-106051603	.
chr10:106058675-106061054	.
chr10:106064659-106065159	.
chr10:106065252-106065993	.
chr10:106067567-106068067	.
chr10:106069392-106070121	.
chr10:106069453-106093663	ITPRIP
chr10:106078906-106079406	.
chr10:106083121-106086503	LOC101927472
chr10:106087326-106089267	.
chr10:106089901-106090624	.
chr10:106090934-106091778	.
chr10:106097311-106098748	.
chr10:106099017-106100529	.
chr10:106102798-106103298	.
chr10:106109347-106110321	.
chr10:106111058-106113333	CFAP58-AS1
chr10:106113521-106214848	CFAP58
chr10:1061575-1062075	.
chr10:10683718-10685483	.
chr10:1080687-1081187	.
chr10:1081247-1081747	.
chr10:10838150-10838803	.
chr10:10839068-10840953	.
chr10:1085359-1095306	IDI1
chr10:10866326-10867282	.
chr10:10872349-10873213	.
chr10:1094192-1096111	.
chr10:10953267-10953996	.
chr10:11009543-11010327	.
chr10:11018919-11020160	.
chr10:1102016-1103025	.
chr10:1102775-1178237	WDR37
chr10:11047074-11373418	CELF2
chr10:11059303-11060348	.
chr10:11077200-11077700	.
chr10:11078331-11078831	.
chr10:11087801-11088583	.
chr10:11088619-11089236	.
chr10:11090646-11091875	.
chr10:11098741-11100183	.
chr10:111624523-111683311	XPNPEP1
chr10:111643554-111644818	.
chr10:111652101-111653204	.
chr10:111653366-111653866	.
chr10:111654192-111655159	.
chr10:111659188-111660254	.
chr10:111662569-111663607	.
chr10:111705316-111768139	ADD3-AS1
chr10:111725110-111725610	.
chr10:111728816-111729447	.
chr10:111729494-111730118	.
chr10:111738095-111739360	.
chr10:111741364-111742259	.
chr10:111755907-111756588	.
chr10:111765302-111765923	.
chr10:111766461-111769136	.
chr10:111767693-111895323	ADD3
chr10:111834013-111834513	.
chr10:111834991-111835491	.
chr10:111836187-111836997	.
chr10:111837149-111837649	.
chr10:11187325-11187926	.
chr10:111967108-111967608	.
chr10:111967734-111971536	.
chr10:111976700-111977200	.
chr10:111981217-111982027	.
chr10:111985761-112047123	MXI1
chr10:112029052-112030125	.
chr10:112052797-112064707	SMNDC1
chr10:112064060-112065620	.
chr10:11206412-11208072	.
chr10:112095605-112096397	.
chr10:112116241-112116741	.
chr10:112116965-112117465	.
chr10:112170081-112170581	.
chr10:112257624-112271302	DUSP5
chr10:112260946-112261446	.
chr10:112262584-112263084	.
chr10:112263521-112264457	.
chr10:112305907-112306407	.
chr10:112306855-112307559	.
chr10:112327448-112364392	SMC3
chr10:112404154-112599229	RBM20
chr10:112506034-112506534	.
chr10:112543161-112543661	.
chr10:112543834-112544334	.
chr10:112561738-112562848	.
chr10:112563545-112564045	.
chr10:112579712-112580694	.
chr10:112582072-112582572	.
chr10:112587106-112588142	.
chr10:112593102-112593714	.
chr10:112594421-112595180	.
chr10:112597020-112598450	.
chr10:112619262-112620145	.
chr10:112628647-112630662	PDCD4-AS1
chr10:112630367-112632909	.
chr10:112631552-112659764	PDCD4
chr10:112641001-112641501	.
chr10:112658487-112679124	BBIP1
chr10:112678123-112679645	.
chr10:112679300-112773425	SHOC2
chr10:112835760-112837039	.
chr10:112836789-112840662	ADRA2A
chr10:112837399-112837899	.
chr10:112839437-112840300	.
chr10:11284265-11284860	.
chr10:113020800-113021300	.
chr10:11372231-11374355	.
chr10:11377027-11377527	.
chr10:113909621-113943537	GPAM
chr10:11397079-11398069	.
chr10:114134894-114136205	.
chr10:114135955-114188138	ACSL5
chr10:114190047-114206717	ZDHHC6
chr10:114206440-114207327	.
chr10:114206745-114578503	VTI1A
chr10:114231543-114232043	.
chr10:1144904-1145507	.
chr10:114552502-114553002	.
chr10:114571393-114572089	.
chr10:114576579-114577211	.
chr10:114708808-114710858	.
chr10:114710008-114927436	TCF7L2
chr10:114711274-114712036	.
chr10:114807343-114807923	.
chr10:114807995-114808495	.
chr10:114816082-114816950	.
chr10:114817889-114820678	.
chr10:114831167-114831667	.
chr10:114833352-114834129	.
chr10:114856247-114856747	.
chr10:114859297-114859797	.
chr10:114866613-114867176	.
chr10:114871572-114872776	.
chr10:114886263-114886826	.
chr10:114888563-114889183	.
chr10:11502508-11653788	USP6NL
chr10:115122206-115122814	.
chr10:115235849-115236349	.
chr10:115251606-115252399	.
chr10:115253547-115254047	.
chr10:115254484-115254984	.
chr10:115255783-115256560	.
chr10:115317003-115317691	.
chr10:115321290-115322296	.
chr10:115322920-115323610	.
chr10:115439427-115490668	CASP7
chr10:115559292-115559792	.
chr10:115594482-115613975	DCLRE1A
chr10:1155985-1156485	.
chr10:115614390-115672265	NHLRC2
chr10:11567388-11567964	.
chr10:11570740-11571240	.
chr10:11572636-11573260	.
chr10:11573453-11574826	.
chr10:11575031-11575902	.
chr10:115880620-115933979	CCDC186
chr10:115933563-115934949	.
chr10:116017921-116018749	.
chr10:116019525-116020025	.
chr10:116054582-116164537	AFAP1L2
chr10:116063634-116064433	.
chr10:116080088-116080588	.
chr10:116092467-116093314	.
chr10:116102735-116103235	.
chr10:116103514-116104527	.
chr10:116106043-116106987	.
chr10:116109333-116110102	.
chr10:116116220-116117400	.
chr10:116117458-116117958	.
chr10:116133635-116134744	.
chr10:116138917-116139999	.
chr10:116149058-116149558	.
chr10:116153176-116153676	.
chr10:116156941-116158077	.
chr10:116186393-116186893	.
chr10:116186961-116187822	.
chr10:116190868-116286685	ABLIM1
chr10:116193595-116194095	.
chr10:116230653-116231575	.
chr10:116232580-116233080	.
chr10:116236965-116237465	.
chr10:116238897-116239602	.
chr10:116241992-116242986	.
chr10:116243274-116243774	.
chr10:116245365-116245951	.
chr10:116251102-116252164	.
chr10:116252375-116253024	.
chr10:116273688-116274188	.
chr10:116276055-116276930	.
chr10:116277280-116277780	.
chr10:116278913-116279413	.
chr10:116280071-116280679	.
chr10:116281883-116282684	.
chr10:116284553-116285824	.
chr10:116300634-116301967	.
chr10:116308274-116308928	.
chr10:116310246-116311645	.
chr10:116383558-116384058	.
chr10:116391690-116392350	.
chr10:116392744-116393684	.
chr10:116394223-116395309	.
chr10:116474633-116475410	.
chr10:116508714-116509214	.
chr10:11652180-11654821	.
chr10:116581502-116624474	FAM160B1
chr10:116616265-116616950	.
chr10:116636583-116637259	.
chr10:116640338-116642150	.
chr10:116671549-116672143	.
chr10:116697669-116698447	.
chr10:116697951-116737439	TRUB1
chr10:116761016-116762366	.
chr10:116783831-116784331	.
chr10:116845040-116845540	.
chr10:116851978-116854044	.
chr10:116853123-116931126	ATRNL1
chr10:116854255-116854755	.
chr10:11710493-11711408	.
chr10:11726637-11728425	.
chr10:117577247-117577972	.
chr10:117632059-117632647	.
chr10:117707914-117708414	.
chr10:117709744-117710358	.
chr10:117734253-117734845	.
chr10:117740519-117741019	.
chr10:117816441-118033157	GFRA1
chr10:11784355-11806065	ECHDC3
chr10:11791184-11791684	.
chr10:117937432-117938165	.
chr10:11799254-11800618	.
chr10:11801246-11801746	.
chr10:118031310-118031810	.
chr10:118031963-118032463	.
chr10:118038226-118038726	.
chr10:11824725-11825225	.
chr10:118423206-118429481	C10orf82
chr10:118430702-118502085	HSPA12A
chr10:118441771-118442271	.
chr10:118447658-118448344	.
chr10:11848497-11848997	.
chr10:118500725-118501580	.
chr10:118501835-118502944	.
chr10:118526613-118527282	.
chr10:118529258-118529758	.
chr10:118530626-118531312	.
chr10:118608548-118609540	.
chr10:118642887-118765088	SHTN1
chr10:11865396-11914276	PROSER2
chr10:11873903-11874403	.
chr10:118763945-118765443	.
chr10:118976088-118976964	.
chr10:119000583-119038941	SLC18A2
chr10:119014025-119014905	.
chr10:119019523-119020023	.
chr10:119020159-119020718	.
chr10:119021687-119022187	.
chr10:119038126-119038626	.
chr10:119039999-119134978	PDZD8
chr10:119120453-119120953	.
chr10:119133262-119133977	.
chr10:11916194-11917315	.
chr10:119202260-119202875	.
chr10:119243803-119304579	EMX2OS
chr10:119255785-119257253	.
chr10:119262622-119263122	.
chr10:119263214-119263714	.
chr10:119294686-119295186	.
chr10:119300703-119302776	.
chr10:119301955-119309057	EMX2
chr10:119303394-119303894	.
chr10:119423212-119423712	.
chr10:119443990-119444600	.
chr10:119514468-119515576	.
chr10:119586899-119587640	.
chr10:11962020-12084840	UPF2
chr10:119657675-119658175	.
chr10:119695584-119696084	.
